SrcDatabase-来源数据库	Title-篇名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	PubTime-发表时间	Year-年	Period-期	URL-网址	DOI-DOI
ccnd2007	大医院与社区服务站“双向转诊”	通讯员　梁时荣	湖北日报	湖北日报	双向转诊;社区服务站;		2007-01-08	2007			
ccnd2007	社区医生帮老百姓省钱	本报记者　 陈青	文汇报	文汇报	社区医生;社区卫生中心;村卫生室;双向转诊;乡村医生;新型农村合作医疗制度;		2007-01-07	2007			
ccnd2007	南京今年全面推行社区首诊和双向转诊	通讯员　 臧继全 丁森 记者　 倪秀萍	南京日报	南京日报	社区首诊;双向转诊;社区卫生服务机构;全面推行;		2007-01-06	2007			
ccnd2006	改善社区卫生服务重点：建立双向转诊机制	记者 宋梅瑛	协商新报	协商新报	社区卫生服务;双向转诊;		2006-12-29	2006			
ccnd2006	双向转诊优化资源	本报记者　 张永超	医药经济报	医药经济报	双向转诊;社区首诊制;社康中心;优化资源;		2006-12-25	2006			
ccnd2006	"明年起,社区内可看专家门诊"	本报记者　姚兆羽	闽南日报	闽南日报	公立医院;社区卫生服务机构;对口支援;卫生行政部门;双向转诊;专家门诊;		2006-12-24	2006			
ccnd2006	做你身边的守候天使	本报记者 于红丽	大同日报	大同日报	社区卫生服务机构;城市社区卫生服务;卫生服务站;全科医生;双向转诊;		2006-12-12	2006			
ccnd2006	枣林“双向转诊”活了医院乐了农民	王岗	平顶山日报	平顶山日报	双向转诊;乡卫生院;		2006-12-12	2006			
ccnd2006	306件人大代表建议办理完毕	记者　王静	石家庄日报	石家庄日报	社区卫生服务机构;人大常委会;双向转诊;		2006-11-16	2006			
ccnd2006	惠及千家万户的民心工程	本版编辑 本组撰稿 本报通讯员 臧继全 丁森 崔晓宁 吴月华 徐家云 郭明 薛坚	南京日报	南京日报	社区卫生服务机构;中华路;社区公共卫生服务;家庭病床;社区首诊制;基本卫生保健制度;双向转诊;社区卫生服务站;全科医生;基本医疗服务;民心工程;		2006-11-10	2006			
ccnd2006	足不出户享受数字医疗	本报记者　 谭啸	计算机世界	计算机世界	数字医疗;社区卫生服务中心;居民健康档案;全科团队;社区居民;长宁区;双向转诊;社区卫生服务站;三级医院;		2006-10-23	2006			
ccnd2006	“双向转诊”为何叫好不叫座	本报记者　 颜芳	新华日报	新华日报	双向转诊;南京第一医院;社区卫生服务中心;社区医院;		2006-10-16	2006			
ccnd2006	牵手促发展	本报记者　 初英杰	太原日报	太原日报	社区卫生服务机构;双向转诊;社区居民;促发展;		2006-10-01	2006			
ccnd2006	居民看中医不出社区	通讯员　 宋国梵 记者　 孙刚	解放日报	解放日报	社区卫生服务中心;中心城区;中医医院;双向转诊;		2006-09-19	2006			
ccnd2006	八成市民步行一刻钟可配中药	记者　陈青 通讯员　宋国梵	文汇报	文汇报	社区卫生服务中心;双向转诊;社区居民;		2006-09-19	2006			
ccnd2006	太原迎泽区联手医院打造健康社区	记者　 张荣	山西经济日报	山西经济日报	社区卫生服务机构;医务人员;健康社区;双向转诊;		2006-09-13	2006			
ccnd2006	小病不出社区 大病及时转诊	记者　陈青 通讯员　文龙	文汇报	文汇报	双向转诊;		2006-08-31	2006			
ccnd2006	拓展社区卫生服务建立双向转诊机制	记者　乌云斯琴	人民政协报	人民政协报	社区卫生服务;双向转诊;看病难、看病贵;		2006-08-28	2006			
ccnd2006	"康复,燃起先天不足者的希望"	本报记者　 魏赟	医药经济报	医药经济报	社区康复;社区卫生服务中心;儿科医院;门诊量;医疗机构;康复师;双向转诊;		2006-08-28	2006			
ccnd2006	双向转诊艰难“破土”	本报记者 王丽艳	青岛日报	青岛日报	双向转诊;社区卫生服务机构;社区医疗机构;		2006-08-24	2006			
ccnd2006	双向转诊的远程之忧	本报记者　 魏赟	医药经济报	医药经济报	双向转诊;社区卫生服务中心;综合性医院;		2006-08-07	2006			
ccnd2006	制约医院“双向转诊”的瓶颈在哪里	本报记者　 仲崇山	新华日报	新华日报	双向转诊;社区医院;社区卫生;		2006-08-04	2006			
ccnd2006	到社区看病人数增加一成	杨丽佳 吴月华	健康报	健康报	社区首诊制;双向转诊;社区卫生服务机构;		2006-08-02	2006			
ccnd2006	93家社康中心覆盖南山	深圳商报记者　郑恺 万红金 通讯员　王陵	深圳商报	深圳商报	社康中心;社区居民;卫生局;双向转诊;绿色通道;社区健康服务中心;看病难、看病贵;		2006-08-02	2006			
ccnd2006	小病回社区治疗人数增加	南京日报记者　 李映晖 实习生 屈蕊	南京日报	南京日报	社区首诊制;社区治疗;社区卫生服务中心;社区就诊;双向转诊;		2006-07-30	2006			
ccnd2006	民营社区中心的边缘化摇摆	本报特约通讯员　 戴望	医药经济报	医药经济报	社区中心;社区卫生服务中心;社区卫生服务体系;社区服务站;社区首诊制;社区卫生服务站;双向转诊;民营资本投资;		2006-07-24	2006			
ccnd2006	今年社区首诊率将超四成	记者　 解悦 实习生 严青	南京日报	南京日报	社区首诊;双向转诊;社区首诊制;社区卫生服务机构;		2006-07-18	2006			
ccnd2006	南京将用三年时间推行社区首诊制	颜芳	新华日报	新华日报	社区首诊制;社区卫生服务机构;双向转诊;		2006-07-18	2006			
ccnd2006	双向转诊 能否星火燎原？	本报记者　 侯永锋	辽宁日报	辽宁日报	双向转诊;卫生局;定点医疗机构;社区卫生服务中心;双向转诊制度;		2006-07-14	2006			
ccnd2006	百年名院的拓展之途	本报记者　李蕴明 刘景峰	医药经济报	医药经济报	二级医院;品牌医院;大型综合医院;医院领导班子;看病难;双向转诊;		2006-07-14	2006			
ccnd2006	衡水“双向转诊”惠及万余农村患者	陈凤来、马路、袁文	河北日报	河北日报	双向转诊;农村患者;床位费;		2006-07-12	2006			
ccnd2006	双向转诊为何出师不利	秦全波 本报记者　陈岳海	四川日报	四川日报	双向转诊;社区卫生服务中心;社区卫生服务站;		2006-07-03	2006			
ccnd2006	琼粤开通“绿色生命健康通道”	记者　何伟	经济日报	经济日报	生命健康;双向转诊;广东省;		2006-06-21	2006			
ccnd2006	上海八成社区居民将在家里享受中医服务	朱国荣	中国社会报	中国社会报	中医服务;社区居民;双向转诊;		2006-06-13	2006			
ccnd2006	粤琼医院实现双向转诊	符壮才	健康报	健康报	双向转诊;广东省;海南省;		2006-06-12	2006			
ccnd2006	建立琼粤“绿色生命健康通道”	记者　张苏民 通讯员　林少川	海南日报	海南日报	双向转诊;广东省;医疗花费;生命健康;		2006-06-11	2006			
ccnd2006	医保到社区 政府要助力	本报记者　 赵华琼	中国劳动保障报	中国劳动保障报	双向转诊;社区医院;参保人员;社区卫生服务中心;		2006-06-09	2006			
ccnd2006	社区卫生工作亟待加强	马元莉	四川政协报	四川政协报	社区卫生;社区卫生服务机构;双向转诊;		2006-06-08	2006			
ccnd2006	"南京：双向转诊,引导9类病患回社区就诊"	本版编辑 朱旭东 王蔚	新华每日电讯	新华每日电讯	双向转诊;社区就诊;南京市卫生局;		2006-06-03	2006			
ccnd2006	真情为患者 真爱为百姓	本报记者 王素琨 通讯员 迟秀梅	河北经济日报	河北经济日报	看病难看病贵;医疗收费;单病种;科室主任;双向转诊;床位费;商业贿赂;绿色通道;石家庄市第一医院;大处方;		2006-05-24	2006			
ccnd2006	南安“双向转诊”缓解看病难	陈远芳	中国纪检监察报	中国纪检监察报	双向转诊;看病难;乡镇卫生院;		2006-05-23	2006			
ccnd2006	湖南人民医院探路“双向转诊”	本报记者　 冯志伟 实习生 郝菲	市场报	市场报	双向转诊;湖南省;长沙市;社区医院;		2006-05-22	2006			
ccnd2006	南京市将引导九种病患者回社区治疗	南京日报记者　 倪秀萍	南京日报	南京日报	社区卫生服务机构;双向转诊;公费医疗;社区治疗;南京市;		2006-05-16	2006			
ccnd2006	“围住院期”难题调查	本报记者　 戴丹 汪言安	医药经济报	医药经济报	床位管理;社区医院;中山大学附属肿瘤医院;医疗资源配置;双向转诊;慢性病人;中山大学附属第一医院;床位使用率;中小医院;出租屋;		2006-04-28	2006			
ccnd2006	朱文玮 奔忙不懈为“民生”	李斌 本报记者　 董云平	黑龙江日报	黑龙江日报	双向转诊;		2006-04-20	2006			
ccnd2006	社区中心牵手大医院	张建中 朱慧华 陶毓敏 夏冠斌	健康报	健康报	社区卫生服务中心;社区卫生中心;双向转诊;社区中心;		2006-04-20	2006			
ccnd2006	邯郸县10个乡镇全部实行“双向转诊”	记者 刘剑英 通讯员 王金财 樊峻岭	河北日报	河北日报	双向转诊;乡卫生院;		2006-04-13	2006			
ccnd2006	道外社区卫生服务机构双向转诊启动	李斌 记者　 董云平	黑龙江日报	黑龙江日报	社区卫生服务机构;双向转诊;社区卫生服务站;		2006-04-13	2006			
ccnd2006	石家庄出台医疗机构 双向转诊管理方案	王振岭 树怀有	科技日报	科技日报	双向转诊;医疗机构;市级医院;管理方案;石家庄;		2006-04-10	2006			
ccnd2006	让社区医疗有用武之地	建抚	友报	友报	社区医疗;社区卫生机构;双向转诊;		2006-04-07	2006			
ccnd2006	医院提供社区卫生服务资源丰富	周旭文	中国中医药报	中国中医药报	社区卫生服务;双向转诊;		2006-04-05	2006			
ccnd2006	大庆“双向转诊”破解看病难看病贵	记者　 蒋国华	黑龙江日报	黑龙江日报	双向转诊;看病难看病贵;大庆油田总医院;		2006-03-30	2006			
ccnd2006	200名病人实现双向转诊	记者　王丽强	石家庄日报	石家庄日报	双向转诊;社区卫生服务机构;长安区;		2006-03-26	2006			
ccnd2006	浦东外高桥组建医疗联合体	通讯员 冯忠英	东方城乡报	东方城乡报	外高桥;医疗联合体;		2006-03-16	2006			
ccnd2006	代表委员破解社区居民看病难题	本报记者　 赵宗祥	中国医药报	中国医药报	社区医疗机构;双向转诊;社区卫生服务机构;社区卫生机构;社区医院;社区居民;		2006-03-16	2006			
ccnd2006	“双向转诊”路有多长	记者　张明星	石家庄日报	石家庄日报	双向转诊;石家庄市;社区首诊;社区卫生服务机构;		2006-03-10	2006			
ccnd2006	双向转诊：谁最企盼？	本报记者　 石丽珠	河北日报	河北日报	双向转诊;桥东区;社区卫生服务站;基层医院;		2006-03-09	2006			
ccnd2006	平价医院：便宜能否治好病？	刘枭 本报记者　周娜	辽宁日报	辽宁日报	平价医院;医疗质量;双向转诊;		2006-03-09	2006			
ccnd2006	我市开辟就医“绿色通道”	兰萍 记者 张平	南昌日报	南昌日报	社区卫生服务机构;社区卫生服务站;青山湖;双向转诊;绿色通道;		2006-03-07	2006			
ccnd2006	我市将推广“双向转诊”制	本报记者 王均珠	贵阳日报	贵阳日报	双向转诊;社区卫生服务机构;社区医院;		2006-03-06	2006			
ccnd2006	全市医疗机构双向转诊启动	记者　王丽强	石家庄日报	石家庄日报	双向转诊;医疗机构;社区卫生服务机构;		2006-03-06	2006			
ccnd2006	上转患者享受一免四减五优先	记者　王丽强	石家庄日报	石家庄日报	社区卫生服务机构;双向转诊;社区医生;		2006-03-06	2006			
ccnd2006	小病不出社区就可搞定	社区记者　 李晓平 实习生 陈欣	厦门日报	厦门日报	社区卫生服务中心;社区医院;双向转诊;		2006-03-05	2006			
ccnd2006	社区医疗　呼唤春天	记者　刘妍	雅安日报	雅安日报	社区医疗;双向转诊;社区卫生服务机构;社区医疗机构;		2006-03-05	2006			
ccnd2006	双向转诊减费用 公益医院不盈利	本报记者 刘亚媚	宝鸡日报	宝鸡日报	双向转诊;看病难、看病贵;社区医院;		2006-03-01	2006			
ccnd2006	南安：“双向转诊”缓解看病难	陈文辉	福建日报	福建日报	双向转诊;看病难;乡镇卫生院;		2006-02-28	2006			
ccnd2006	上海：双向转诊让病人得实惠	宋国梵	健康报	健康报	双向转诊;社区卫生服务中心;		2006-02-17	2006			
ccnd2006	长沙首家平价医院亮相	记者　 左丹	湖南日报	湖南日报	平价医院;双向转诊;挂号费;		2006-02-16	2006			
ccnd2006	医疗联合体 呵护40万居民	记者　陈青	文汇报	文汇报	医疗联合体;功能区;外高桥;卫生院;社区卫生服务中心;		2006-02-16	2006			
ccnd2006	上海：双向转诊　病人减负	记者　田泓	人民日报	人民日报	双向转诊;社区卫生服务中心;		2006-02-15	2006			
ccnd2006	双向转诊:看病更方便实惠	本报记者　 顾泳 通讯员　 宋国梵	解放日报	解放日报	双向转诊;徐汇区;社区卫生服务中心;		2006-02-13	2006			
ccnd2006	双向转诊看病方便了 看病省钱了	记者　陈青 通讯员　宋国梵	文汇报	文汇报	双向转诊;社区卫生服务中心;		2006-02-13	2006			
ccnd2006	大小医院间可望“双向转诊”	仲崇山	新华日报	新华日报	双向转诊;社区卫生服务机构;社区卫生服务站;		2006-01-27	2006			
ccnd2006	石家庄双向转诊病人实行“两免四减一优先”	刘伟	医药经济报	医药经济报	双向转诊;市级医院;医疗机构;石家庄;		2006-01-27	2006			
ccnd2006	上海岳阳中西医结合医院延伸中医药服务 构建双向转诊网络	记者　任壮	中国中医药报	中国中医药报	双向转诊;中西医结合医院;社区卫生服务中心;中医药服务;		2006-01-19	2006			
ccnd2006	石市农村患者可“双向转诊”	记者 薛惠娟 冉亚雄	河北日报	河北日报	双向转诊;农村患者;市级医院;		2006-01-08	2006			
ccnd2005	大型医院　患者通吃社区诊所　残羹冷饭	本报记者　许黎珊　辛京	市场报	市场报	社区医院;社区卫生服务机构;社区诊所;全科医生;社区医疗机构;社区医生;看病难;双向转诊;		2005-12-14	2005			
ccnd2005	大医院“双向转诊”，基层病人受益	杨霞	新华每日电讯	新华每日电讯	双向转诊;医疗费用;		2005/11/28	2005			
ccnd2005	11所军队医院在京成立医疗联合体	记者 李颖 通讯员 石国本 刘泉	科技日报	科技日报	医疗联合体;军队医院;心血管外科;		2005/11/07	2005			
ccnd2005	“双向转诊”模式初见成效		广州日报	广州日报	双向转诊;医保卡;开平市中心医院;		2005-10-01	2005			
ccnd2005	广东 12家医院合作推出双向转诊	李伟娜　李蕴明	医药经济报	医药经济报	双向转诊;		2005-08-12	2005			
ccnd2005	服务细节　彰显人文关怀	本报记者　陈幸祉	衡水日报	衡水日报	医疗服务模式;双向转诊;医务人员;医疗模式;人文关怀;		2005-05-23	2005			
ccnd2005	上海六院牵手11家社区医院	胡德荣 顾海鹰	健康报	健康报	社区医院;双向转诊;		2005-04-04	2005			
ccnd2005	把大医院搬到田间地头	卢乔 王亮 孟庆普 周志山	健康报	健康报	双向转诊;		2005-04-04	2005			
ccnd2005	双向转诊遭遇“市场”壁垒	驻地记者 林永兴 林智岚	医药导报	医药导报	双向转诊;社区卫生服务机构;定点医院;		2005-03-24	2005			
ccnd2004	社区医疗的民资实验	本报记者 赖强（见习） 谭勇	医药经济报	医药经济报	社区卫生服务机构;社区医疗;双向转诊;卫生院;城市社区卫生服务;		2004-08-20	2004			
ccnd2004	看病难咋解决？	本报记者 叶依	健康时报	健康时报	社区医疗服务机构;看病难;社区医疗服务站;双向转诊;		2004-03-18	2004			
ccnd2004	与社区卫生站双向转诊	林抗生 吴真真	健康报	健康报	双向转诊;社区卫生服务中心;社区卫生站;		2004-01-15	2004			
ccnd2003	宜城市中医医院转变服务模式		中国中医药报	中国中医药报	中医医院;宜城市;中医院;医疗联合体;服务模式;		2003/08/11	2003			
ccnd2003	天津出现“双向转诊”便民服务	张梅珍 陈建民	中国医药报	中国医药报	双向转诊;向阳医院;社区医疗;便民服务;		2003-01-27	2003			
											
SrcDatabase-来源库	Author-作者	Title-题名	Organ-单位	Keyword-关键词	Summary-摘要	PubTime-发表时间					
科技成果	夏家红	基于医疗联合体的智慧医疗应用服务研究	华中科技大学同济医学院附属武汉中心医院	智慧医疗;医疗联合体;云平台	"1、课题来源与背景： 2013年湖北省科技计划项目《基于医疗联合体的智慧医疗应用服务研究》,项目编号2013BAA106,下达文号：鄂科技发计[2013]13号。根据国家医改提出促进分级诊疗,推动优质医疗服务资源下沉基层的工作要求,武汉市中心医院建立区域医疗联合体发展战略,截至2015年底医联体成员共计26家。 2、研究目的与意义： 以国家医改政策和武汉智慧城市建设方案为指导,基于云计算、物联网、系统集成等技术,研发覆盖三级医院、二级医院、社区卫生服务中心及远城区中心医院、乡镇卫生院的医疗联合体智慧医疗应用云平台,促进实现分级诊疗和基本医疗服务均等化。 3、项目建设任务： 1)基于医联体的核心医疗业务信息系统集成与应用; 2)基于医联体的远程诊断应用; 3)基于医联体的远程会诊协同应用; 4)基于就医时间链分析的预约服务体系及分时就诊模式实现; 5)物联网技术在医疗业务中的应用; 6)智慧家庭及健康养老服务应用; 7)基于医联体的健康体检与专家指导系统研究和应用; 8)基于新媒体技术实现健康及医疗服务互动。 4、创新成效： 本项目在国家医改相关政策的指导下,借助于医疗信息技术构建基于医联体的智慧医疗应用云平台,提升了医疗联合体总体服务水平。将云计算、物联网、移动互联网等技术创新性地应用到本项目中,在改善就医体验、提升医疗工作效率、促进医疗业务协同等方面完成了项目目标。 5、社会经济效益： 本项目不直接产生经济效益。通过集成平台实现的可扩展的智慧医疗建设模式,在保护原有信息化投入方面取得良好成效,从而保障项目建设模式的可复制性。项目建设引入产学研多方合作,通过市场主导、政府引导,实现共建共赢,形成了今后可以复制的投入回报机制。 6、暂无获奖。"	2016-10-25					
科技成果	金震	延华分级诊疗管理平台	上海延华智能科技	分级诊疗;就医制度;合理就医格	"一、课题来源与背景 分级诊疗是指按疾病轻重缓急和治疗的难易程度进行分级,不同级别的医疗机构承担不同疾病的治疗,常见病和多发病在基层医疗机构、疑难病和危重病在大型医疗机构的新型就医模式。建立合理分级诊疗模式是加快建立“基层首诊、双向转诊、急慢分治、上下联动”就医制度,推动形成“健康进家庭、小病在基层、大病到医院、康复回社区”合理就医格局的关键环节,是深化医药卫生体制改革,缓解“看病难、看病贵”的重要举措。2015年9月,国务院发布《国务院办公厅关于推进分级诊疗制度建设的指导意见》,分级诊疗的国家顶层设计正式出台,到2017年,基层医生卫生机构诊疗量占总诊疗量比例明显提升,到2020年,基层首诊、双向转诊、急慢分治、上下联动的分级诊疗模式逐步形成。在此背景下,本项目开展分级诊疗管理平台的研究与应用,符合政策导向,满足区域医疗发展所需,市场前景广阔。 二、研究目的与意义 本项目旨在开发设计一个面向医疗机构的分级诊疗管理平台,推动医院形成规范化、信息化的分级诊疗服务,促进缓解“看病难、看病贵”的问题。 三、研究内容与成果 研究内容包括： 延华分级诊疗管理平台主要有用户登录,分级诊疗管理,推床管理,查询功能,日志管理,接口和配置管理模块,主要实现用户登录,分级诊疗,作废分级诊疗记录、查询分级诊疗记录、推床信息录入、分级诊疗记录报表、趋势分析图、系统日志查询、提供可查询病人级别的Webservice接口、分级分诊量化指标配置、指标内容上下限维护、主诉及症状维护和设备接口配置等功能,实现医院的分级诊疗管理。 该系统采用ASP.NET开发技术,利用三层架构设计实现了各类功能的开发,使系统便于维护,方便查询。为医院提供规范化、信息化的分级诊疗服务。 取得的成果包括： 本项目获得软件著作权1项,软著名称：《延华分级诊疗管理平台软件V5.0》,登记号：2016SR267276。 四、创新点 1、实现医院内部分级分诊,能够按照病情缓急合理配置医疗资源,提高救治效果。 2、系统预留接口,能够非常方便地与省级分级诊疗平台进行对接。 五、社会经济效益 分级诊疗管理平台的建立,将推动建立符合我国国情的分级诊疗制度,提升分级诊疗服务能力,逐步健全保障机制,促进布局合理、规模适当、层级优化、职责明晰、功能完善、富有效率的医疗服务体系基本建立,逐步推动基层首诊、双向转诊、急慢分治、上下联动的分级诊疗模式形成。平台开发完成后,公司将选取至少3家医院单位进行试点,进行进一步的应用研究,预计项目实施期间实现销售收入230万元,平台将依托延华健全的市场营销体系,逐步推向全国各大医疗机构,伴随政策支持和市场开拓力度的加强,项目产品的经济效益可观。"	2016-09-20					
科技成果	方舟	医疗联合体内社区医院一站式服务中心的构建与成效	绍兴第二医院平水分院	医疗联合体;社区医院;一站式服务中心;构建	"一、简要技术说明及主要技术性能指标 本课题入选2013年11月至2015年12月平水分院一站式服务中心资料,采用回顾性分析和问卷调查的方法,通过比较分院建立一站式服务中心前后的业务数据、双向转诊数据、双向转诊类型、大型检查预约等数据,进行统计学分析,取得以下结果：两年来分院在业务量、就诊人次、住院人次等方面,分别增长80.50%、38.26%、79.78%,2014年8月-2015年10月通过一站式服务中心上转患者1605人次,转回患者258人次,患者对于一站式服务中心的整体满意度为98.7%,P值"	2015-12-25					
科技成果	刘永年	青海省分级诊疗评估报告	青海大学医学院	青海省;分级诊疗;评估;报告	"为合理利用区域内医疗资源,逐步建立各级医院的分工协作机制,控制医疗费用过快增长,降低参保职工和居民医药费用负担,有效缓解群众“看病难、看病贵”问题,我省在全国率先推行分级诊疗制度,全省自2013年10月启动实施分级诊疗制度,已取得显著成绩。为进一步摸清我省开展分级诊疗制度的实际状况,更好地落实医改任务,通过评估,查找不足,发现问题,研究症结,客观分析分级诊疗制度存在的问题,提出改进措施和对策建议,助力分级诊疗制度的顺利推进,切实有效推进分级诊疗工作。 从全省范围内开展分级诊疗评估工作,在全国也属首次。本次评估主要通过利益相关方访谈、现场检查、问卷调查等形式开展;调查总体结果显示,各州、地、市政府和医疗机构高度重视,广泛动员,积极宣传,细化政策执行,均出台了分级诊疗相关的文件、制度、实施细则等,部分地区探索制定了本地区的分级诊疗疾病目录。医疗机构收入状况统计显示,实施分级诊疗制度后,二级、三级医疗机构医疗总收入增长趋缓;三级医院门诊收入增幅明显,而住院收入增幅趋缓;医务人员调查显示,各地区各级别医疗机构医务人员对分级诊疗制度普遍认可,执行分级诊疗工作对分流病人、降低医疗费用、解决大医院看病难等问题意义重大。患者调查显示,一级医疗机构就诊患者对基层医疗机构的意见主要是以药品品种少,二级、三级医疗机构就诊患者对基层医疗机构的意见主要是医疗卫生技术水平低。医疗机构负责人调查显示,医疗机构负责人对本单位在分级诊疗制度宣传、医务人员认同度、制定的实施细则、监管制度、工作考核等方面表示比较满意以上的占多数。另外还说明了取得的成绩和主要存在的问题以及政策建议。"	2015-11-27					
科技成果	戴青梅	托管模式下紧密型医疗联合体基层员工满意度调查及研究	潍坊滨海经济开发区人民医院	满意度;员工;医疗联合体	"本课题对托管模式下滨海区紧密型医疗联合体运营情况进行把脉诊断,通过对基层医疗机构的员工满意度调研,了解员工满意度现状及关键影响因子,及时发现医疗联合体运行过程中存在的问题,建立科学评价体系,探索解决方案及整改措施,为全国公立医院改革提供决策依据,保障基层卫生事业健康发展和可持续发展。 采取整群抽样的方法,对医疗联合体内基层医疗机构的全体医务人员103人进行调研,调查结果采用统计软件SPSS17.0进行统计分析。结果显示员工对实施医疗联合体后的工作满意度较高,总体满意度均分为4.25。在调查问卷的7个维度中,团队协作得分最高,为4.62;其次是认可及赞赏(4.30)、组织管理(4.28)、工作岗位(4.26)、培训学习(4.03),工作条件与薪酬福利得分较低分别为3.92、3.19,说明员工对工作条件与薪酬福利满意度较低;村卫生室的医务人员较其他人员满意度低;Logistic逐步回归分析显示,对基层医疗机构员工满意度影响较大的因素为专业技术水平以及薪酬福利;与pearson相关性最高的是对专业技术水平的提高,相关系数为0.704,得分为4.13;其次是对个人工作量相关系数为0.647,得分为4.00;薪酬福利相关系数为0.588,得分为3.18。 滨海区医疗联合体的建立有效整合了卫生资源,引导优质医疗资源向基层下移,带动了基层医疗卫生服务能力和技术水平的提升,不仅为当地居民提供了安全有效、方便价廉的优质服务,而且为员工提供了良好的成长空间和平台,很好的调动了基层员工的工作主动性和积极性,员工满意度大幅度提升。并针对调研发现的问题及其重要影响因子,制定了切实可行的管理策略,有利于进一步推进和深化医疗卫生改革,保证基层医疗卫生事业健康稳定发展和可持续发展,具有较好的社会效益和经济效益。 课题紧跟新医改要求,立体新颖,研究方法科学,结论可靠,有很好的实用价值和推广价值。医疗联合体不仅对基层医院有很好的帮扶作用,较好的缓解群众“看病难、看病不方便”等焦点问题,而且对提高医疗服务质量、提高社会满意度、群众满意度及员工满意度有重要的促进作用,社会价值深远。 推广应用情况： ①中央电视台报道。2011年8月15日“中央电视台第二频道”对潍坊市公立医院托管改革情况进行专题报道,在全国引起广泛关注,多家医院咨询学习 ② 全国专题报告。戴青梅同志作为特邀嘉宾参加“第七届中国医院管理高峰论坛”,2011年9月21日在北京交流“潍坊市公立医院托管改革经验”,为全国公立医院改革提供借鉴; ③发表论文6篇,刊登在《中华医院管理杂志》等核心期刊,主要观点被多种杂志引用,管理方法被全国多家医院采用或借鉴,对全国公立医院改革起到了积极的推动作用。"	2015-11-06					
科技成果	江华	三甲医院全科医学科模式初探与实践	上海市东方医院	全科医学;双向转诊;人才培养	"建立全科医生制度,推动全科医学发展,实现基层首诊、双向转诊是新一轮深化医改的重大战略举措和目标。三级甲等医院的全科医学科是是全科师资培养的摇篮,是双向转诊、分级诊疗的桥梁;是全科学科建设的研究基地;是疾病未分化状态的诊治基地;是三甲医院向基层医院的辐射源。 (1)师资培养：国内率先开设同济大学精品课程-全科医学全英文教学课程,以全科医学基本理论、全科医疗特点、社区常见病的全科医学处理和医患交流技巧为主要授课内容, 以普及全科医学理念为目标的本科生全科医学基础教育课程。编写英文教学大纲。定期选派优秀教师和规范化培养医师到英国伯明翰大学、美国内布拉斯加大学全科医学系培训;成立了全科医学教研室。 (2)全科规培：国内首次开启“全方位、立体化、订单式”培养模式培养全科医师,由新区牵头、确定立足本区的“订单”需求,东方医院联合浦东新区各家社区卫生服务中心,在招生环节实施共同招生,与全科医师签订三方协议,在整个管理过程中进行多方监管。培养过程中强调临床技能(医学模拟为辅助)锻炼、临床思维的培养和职业素养的培训,利用360度考评方法和绩效考核促进学习热情。同时运用带教医师系统化管理手段保证带教质量。上海市东方医院全科于2011年获批上海市住院医师规范化培训全科医学科培训基地、上海市全科医师规范化培训临床基地; 2013年获批国家全科医生规范化培养基地; 2014年被评定为国家全科住院医师规范化培训基地;成为同济大学全科医学硕士学位授予点。自2012年正式招募规范化培训全科医师,培训规模和培训出站合格率均在上海市名列前茅。 (3)创新双向转诊、分级诊疗模式：开设国内首家社区医生在三甲医院执业的全科门诊,三林社区服务中心派出了12位骨干医生参与,其中主任医师1名,副主任医师4名,高年资主治医师7名,直接双向转诊,创新上海市医疗1+1+1模式,积极探索双向转诊新模式。全科医学科病房49张床位,在东方医院本部也开设了全科医学专家门诊,孙晓明教授坐诊。 (4)科研：学科建设期间顺利完成上海市卫计委、浦东新区卫计委、科委等多项课题,其中孙晓明教授《社区高血压自我管理模式研究与应用》项目荣获2013年浦东新区科技进步一等奖,2014年上海市科技进步二等奖。2014年度入选医院重点扶持学科计划,总经费100万;2015年入选上海市卫生计生系统重要薄弱学科建设计划,总经费130万,跻身上海前列。 (5)全科质控：上海市东方医院全科医学科作为浦东新区全科质控组长单位,组织质控组制定了浦东新区全科绩效考核标准,对浦东新区44家社区卫生服务中心进行每年2次的全科质控,以查促建,推进全科内涵建设。"	2015-09-18					
